id	text_name	author	deprecated	correct_spelling_id	synonym_id	rank
415	Peziza domiciliana	Cooke	0	NULL	2859	4
416	Neolentinus lepideus	(Fr.) Redhead & Ginns	0	NULL	3214	4
417	Scleroderma bovista	Fr.	0	NULL	494	4
418	Russula consobrina	(Fr.) Fr.	0	NULL	NULL	4
419	Paxillus involutus	(Batsch) Fr.	0	NULL	6482	4
420	Leccinum scabrum	(Bull.) Gray	0	NULL	3656	4
421	Laetiporus gilbertsonii	Burds.	0	NULL	NULL	4
422	Coprinopsis nivea	(Pers.) Redhead, Vilgalys & Moncalvo	0	NULL	495	4
423	Xeromphalina fulvipes	(Murrill) A.H. Sm.	0	NULL	4761	4
425	Calvatia booniana	A.H. Sm.	0	NULL	NULL	4
426	Galerina	Earle	0	NULL	3449	9
427	Inocybe sororia	Kauffman	1	NULL	9027	4
428	Lenzites betulinus	(L.) Fr.	1	NULL	3614	4
429	Rhodocollybia badiialba	(Murrill) Halling	1	NULL	606	4
430	Russula amoenolens	Romagn.	0	NULL	NULL	4
431	Xeromphalina campanella	(Batsch) Kühner & Maire	0	NULL	9321	4
432	Amanita thiersii	Bas	0	NULL	5826	4
